Month,Product,Sales
Jan,Compact Powder,800
Feb,Compact Powder,820
Mar,Compact Powder,810
Apr,Compact Powder,830
May,Compact Powder,850
Jun,Compact Powder,860
Jul,Compact Powder,870
Aug,Compact Powder,880
Sep,Compact Powder,890
Oct,Compact Powder,900
Nov,Compact Powder,920
Dec,Compact Powder,940
Jan,Eyeliner,750
Feb,Eyeliner,770
Mar,Eyeliner,760
Apr,Eyeliner,780
May,Eyeliner,800
Jun,Eyeliner,810
Jul,Eyeliner,820
Aug,Eyeliner,830
Sep,Eyeliner,840
Oct,Eyeliner,850
Nov,Eyeliner,860
Dec,Eyeliner,880
