Month,Product,Sales
Jan,Moisturizer,950
Feb,Moisturizer,960
Mar,Moisturizer,955
Apr,Moisturizer,970
May,Moisturizer,980
Jun,Moisturizer,990
Jul,Moisturizer,1000
Aug,Moisturizer,1020
Sep,Moisturizer,1030
Oct,Moisturizer,1050
Nov,Moisturizer,1060
Dec,Moisturizer,1080
Jan,Face Wash,880
Feb,Face Wash,890
Mar,Face Wash,885
Apr,Face Wash,900
May,Face Wash,910
Jun,Face Wash,915
Jul,Face Wash,920
Aug,Face Wash,930
Sep,Face Wash,940
Oct,Face Wash,950
Nov,Face Wash,960
Dec,Face Wash,970
